746 
HunterID	HunterType	HuntingDays	WeekdayHunterChance	GooseLookChance	Efficiency	HomeX	HomeY	NoFarmrefs	FarmRef1	FarmRef2	FarmRef3	FarmRef4	FarmRef5	FarmRef6	FarmRef7	FarmRef8	FarmRef9	FarmRef10
0	0	40	1	0.071	0.5	27900	13306	1	289	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	0	15	0	0.143	0.5	19438	4988	5	145	509	286	351	68	NA	NA	NA	NA	NA
2	0	20	1	1	0.5	6300	14464	3	17	23	264	NA	NA	NA	NA	NA	NA	NA
3	0	11	1	1	0.5	25909	7272	3	508	160	469	NA	NA	NA	NA	NA	NA	NA
4	0	12	1	0	0.5	24125	8255	1	89	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	0	33	1	0.429	0.5	1101	12601	3	425	386	325	NA	NA	NA	NA	NA	NA	NA
6	0	17	1	0.071	0.5	15776	11136	5	65	296	208	276	393	NA	NA	NA	NA	NA
7	0	20	1	0.071	0.5	28389	11271	4	10	362	440	49	NA	NA	NA	NA	NA	NA
8	0	17	1	0.143	0.5	31894	18082	5	396	538	80	322	20	NA	NA	NA	NA	NA
9	0	1	1	0.143	0.5	22635	6283	5	501	446	505	386	135	NA	NA	NA	NA	NA
10	0	21	0	0.429	0.5	33514	6772	2	509	109	NA	NA	NA	NA	NA	NA	NA	NA
11	0	4	1	0.143	0.5	33294	17541	5	254	208	505	97	430	NA	NA	NA	NA	NA
12	0	24	1	1	0.5	32614	7565	1	427	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	0	50	1	1	0.5	34272	12775	1	431	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	0	9	0	1	0.5	6143	14116	2	98	538	NA	NA	NA	NA	NA	NA	NA	NA
15	0	30	0	0.071	0.5	23717	2961	2	47	28	NA	NA	NA	NA	NA	NA	NA	NA
16	0	5	1	0.071	0.5	16132	14277	5	334	457	276	101	323	NA	NA	NA	NA	NA
17	0	33	1	1	0.5	31771	7865	3	506	411	536	NA	NA	NA	NA	NA	NA	NA
18	0	1	1	1	0.5	14200	7477	3	16	106	430	NA	NA	NA	NA	NA	NA	NA
19	0	21	0	0	0.5	23944	2984	1	34	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	0	20	1	0	0.5	5590	17941	1	531	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	0	30	1	0.071	0.5	34531	11849	1	397	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	0	12	1	0.429	0.5	24543	2910	2	86	458	NA	NA	NA	NA	NA	NA	NA	NA
23	0	25	0	0.429	0.5	15451	8918	2	557	479	NA	NA	NA	NA	NA	NA	NA	NA
24	0	25	1	0.429	0.5	32549	11456	1	25	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	0	12	1	0.429	0.5	15014	7781	2	158	36	NA	NA	NA	NA	NA	NA	NA	NA
26	0	6	1	0	0.5	35995	13331	3	288	165	425	NA	NA	NA	NA	NA	NA	NA
27	0	14	1	0.143	0.5	31128	11609	1	309	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	0	15	1	0.429	0.5	10053	13751	2	216	543	NA	NA	NA	NA	NA	NA	NA	NA
29	0	35	1	0	0.5	2000	10419	2	305	213	NA	NA	NA	NA	NA	NA	NA	NA
30	0	11	0	0.143	0.5	25253	9070	5	266	211	47	88	313	NA	NA	NA	NA	NA
31	0	30	0	0.429	0.5	11859	9757	3	296	227	320	NA	NA	NA	NA	NA	NA	NA
32	0	12	1	0.071	0.5	17029	13069	1	194	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	0	20	1	0.429	0.5	15354	8390	1	197	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	0	7	1	0	0.5	29933	14620	5	254	6	127	484	179	NA	NA	NA	NA	NA
35	0	1	0	0.429	0.5	6334	14956	2	12	497	NA	NA	NA	NA	NA	NA	NA	NA
36	0	7	0	0.143	0.5	4563	21000	2	124	460	NA	NA	NA	NA	NA	NA	NA	NA
37	0	15	1	0.143	0.5	3838	12620	3	440	541	255	NA	NA	NA	NA	NA	NA	NA
38	0	20	0	0.429	0.5	34384	14801	2	309	509	NA	NA	NA	NA	NA	NA	NA	NA
39	0	16	0	0.143	0.5	23166	6541	3	234	462	53	NA	NA	NA	NA	NA	NA	NA
