ABMhunter	Species	NoShot
2	Greylag	3
2	Greylag	0
1	Greylag	0
2	Greylag	2
2	Greylag	1
1	Greylag	2
1	Greylag	2
2	Greylag	11
1	Greylag	11
1	Greylag	3
1	Greylag	0
2	Greylag	1
2	Greylag	2
1	Greylag	4
2	Greylag	2
1	Greylag	5
1	Greylag	1
1	Greylag	16
1	Greylag	2
1	Greylag	1
1	Greylag	0
2	Greylag	3
1	Greylag	2
1	Greylag	1
1	Greylag	0
1	Greylag	3
2	Greylag	1
1	Greylag	3
1	Greylag	0
2	Greylag	1
2	Greylag	0
2	Greylag	1
1	Greylag	1
1	Greylag	0
1	Greylag	1
2	Greylag	1
1	Greylag	2
1	Greylag	2
2	Greylag	5
2	Greylag	7
1	Greylag	5
2	Greylag	7
2	Greylag	2
1	Greylag	2
1	Greylag	8
1	Greylag	14
1	Greylag	4
1	Greylag	5
2	Greylag	1
1	Greylag	8
1	Greylag	4
2	Greylag	4
2	Greylag	3
1	Greylag	1
1	Greylag	4
1	Greylag	3
2	Greylag	3
2	Greylag	2
2	Greylag	1
1	Greylag	16
1	Greylag	1
2	Greylag	6
1	Greylag	6
1	Greylag	10
1	Greylag	8
2	Greylag	2
1	Greylag	2
2	Greylag	0
1	Greylag	3
1	Greylag	0
1	Greylag	2
1	Greylag	3
2	Greylag	0
1	Greylag	2
1	Greylag	8
1	Greylag	1
1	Greylag	0
1	Greylag	1
1	Greylag	0
1	Greylag	0
2	Greylag	1
1	Greylag	4
1	Greylag	5
2	Greylag	2
2	Greylag	1
1	Greylag	3
1	Greylag	1
1	Greylag	2
1	Greylag	2
2	Greylag	2
2	Greylag	0
2	Greylag	2
2	Greylag	10
1	Greylag	1
2	Greylag	8
1	Greylag	12
1	Greylag	6
2	Greylag	3
2	Greylag	1
2	Greylag	14
1	Greylag	30
2	Greylag	0
1	Greylag	4
1	Greylag	2
2	Greylag	2
1	Greylag	8
1	Greylag	18
2	Greylag	2
1	Greylag	7
2	Greylag	1
2	Greylag	11
1	Greylag	2
2	Greylag	2
1	Greylag	0
1	Greylag	0
2	Greylag	0
2	Greylag	1
2	Greylag	7
2	Greylag	9
1	Greylag	6
