Openness	Species	Type
94	Greylag	Fieldobs
198	Greylag	Fieldobs
145	Greylag	Fieldobs
217	Greylag	Fieldobs
94	Greylag	Fieldobs
94	Greylag	Fieldobs
145	Greylag	Fieldobs
158	Greylag	Fieldobs
94	Greylag	Fieldobs
135	Greylag	Fieldobs
98	Greylag	Fieldobs
145	Greylag	Fieldobs
94	Greylag	Fieldobs
138	Greylag	Fieldobs
265	Greylag	Fieldobs
134	Greylag	Fieldobs
158	Greylag	Fieldobs
113	Greylag	Fieldobs
113	Greylag	Fieldobs
263	Greylag	Fieldobs
135	Greylag	Fieldobs
132	Greylag	Fieldobs
200	Greylag	Fieldobs
207	Greylag	Fieldobs
145	Greylag	Fieldobs
265	Greylag	Fieldobs
98	Greylag	Fieldobs
94	Greylag	Fieldobs
263	Greylag	Fieldobs
200	Greylag	Fieldobs
263	Greylag	Fieldobs
263	Greylag	Fieldobs
134	Greylag	Fieldobs
94	Greylag	Fieldobs
192	Greylag	Fieldobs
127	Greylag	Fieldobs
137	Greylag	Fieldobs
94	Greylag	Fieldobs
265	Greylag	Fieldobs
135	Greylag	Fieldobs
94	Greylag	Fieldobs
102	Greylag	Fieldobs
263	Greylag	Fieldobs
263	Greylag	Fieldobs
192	Greylag	Fieldobs
145	Greylag	Fieldobs
192	Greylag	Fieldobs
94	Greylag	Fieldobs
56	Greylag	Fieldobs
152	Greylag	Fieldobs
217	Greylag	Fieldobs
263	Greylag	Fieldobs
126	Greylag	Fieldobs
94	Greylag	Fieldobs
94	Greylag	Fieldobs
94	Greylag	Fieldobs
102	Greylag	Fieldobs
265	Greylag	Fieldobs
265	Greylag	Fieldobs
265	Greylag	Fieldobs
126	Greylag	Fieldobs
105	Greylag	Fieldobs
84	Greylag	Fieldobs
134	Greylag	Fieldobs
134	Greylag	Fieldobs
263	Greylag	Fieldobs
201	Greylag	Fieldobs
121	Greylag	Fieldobs
121	Greylag	Fieldobs
94	Greylag	Fieldobs
134	Greylag	Fieldobs
265	Greylag	Fieldobs
94	Greylag	Fieldobs
126	Greylag	Fieldobs
152	Greylag	Fieldobs
121	Greylag	Fieldobs
102	Greylag	Fieldobs
102	Greylag	Fieldobs
134	Greylag	Fieldobs
135	Greylag	Fieldobs
169	Greylag	Fieldobs
94	Greylag	Fieldobs
84	Greylag	Fieldobs
84	Greylag	Fieldobs
126	Greylag	Fieldobs
90	Greylag	Fieldobs
263	Greylag	Fieldobs
113	Greylag	Fieldobs
209	Greylag	Fieldobs
135	Greylag	Fieldobs
100	Greylag	Fieldobs
56	Greylag	Fieldobs
98	Greylag	Fieldobs
135	Greylag	Fieldobs
138	Greylag	Fieldobs
134	Greylag	Fieldobs
152	Greylag	Fieldobs
159	Greylag	Fieldobs
94	Greylag	Fieldobs
102	Greylag	Fieldobs
135	Greylag	Fieldobs
145	Greylag	Fieldobs
68	Greylag	Fieldobs
49	Greylag	Fieldobs
134	Greylag	Fieldobs
217	Greylag	Fieldobs
263	Greylag	Fieldobs
66	Greylag	Fieldobs
134	Greylag	Fieldobs
97	Greylag	Fieldobs
142	Greylag	Fieldobs
113	Greylag	Fieldobs
134	Greylag	Fieldobs
84	Greylag	Fieldobs
265	Greylag	Fieldobs
142	Greylag	Fieldobs
86	Greylag	Fieldobs
152	Greylag	Fieldobs
90	Greylag	Fieldobs
90	Greylag	Fieldobs
263	Greylag	Fieldobs
134	Greylag	Fieldobs
90	Greylag	Fieldobs
192	Greylag	Fieldobs
158	Greylag	Fieldobs
142	Greylag	Fieldobs
263	Greylag	Fieldobs
86	Greylag	Fieldobs
263	Greylag	Fieldobs
84	Greylag	Fieldobs
94	Greylag	Fieldobs
68	Greylag	Fieldobs
84	Greylag	Fieldobs
152	Greylag	Fieldobs
135	Greylag	Fieldobs
192	Greylag	Fieldobs
98	Greylag	Fieldobs
84	Greylag	Fieldobs
90	Greylag	Fieldobs
52	Greylag	Fieldobs
134	Greylag	Fieldobs
90	Greylag	Fieldobs
134	Greylag	Fieldobs
90	Greylag	Fieldobs
132	Greylag	Fieldobs
209	Greylag	Fieldobs
94	Greylag	Fieldobs
263	Greylag	Fieldobs
121	Greylag	Fieldobs
251	Greylag	Fieldobs
94	Greylag	Fieldobs
135	Greylag	Fieldobs
113	Greylag	Fieldobs
98	Greylag	Fieldobs
98	Greylag	Fieldobs
68	Greylag	Fieldobs
100	Greylag	Fieldobs
102	Greylag	Fieldobs
159	Greylag	Fieldobs
142	Greylag	Fieldobs
135	Greylag	Fieldobs
263	Greylag	Fieldobs
72	Greylag	Fieldobs
134	Greylag	Fieldobs
72	Greylag	Fieldobs
134	Greylag	Fieldobs
189	Greylag	Fieldobs
192	Greylag	Fieldobs
134	Greylag	Fieldobs
52	Greylag	Fieldobs
98	Greylag	Fieldobs
69	Greylag	Fieldobs
121	Greylag	Fieldobs
132	Greylag	Fieldobs
263	Greylag	Fieldobs
98	Greylag	Fieldobs
192	Greylag	Fieldobs
126	Greylag	Fieldobs
101	Greylag	Fieldobs
134	Greylag	Fieldobs
265	Greylag	Fieldobs
192	Greylag	Fieldobs
143	Greylag	Fieldobs
