species	dist	ObsDato	numbers	year	week	month
Pinkfoot	6632.708054775743	2014-09-19T11:20:00Z	1	2014	38	9
Pinkfoot	1487.4006038579691	2014-09-21T11:40:00Z	2	2014	38	9
Pinkfoot	943.4292367991521	2014-09-21T11:45:00Z	745	2014	38	9
Pinkfoot	1121.9615078306076	2014-09-21T12:00:00Z	540	2014	38	9
Pinkfoot	1142.6023842021114	2014-09-21T12:15:00Z	760	2014	38	9
Pinkfoot	1490.088658667656	2014-09-21T12:30:00Z	140	2014	38	9
Pinkfoot	2285.182967786075	2014-09-21T12:45:00Z	280	2014	38	9
Pinkfoot	2842.515849156292	2014-09-21T13:00:00Z	410	2014	38	9
Pinkfoot	7747.822971379003	2014-09-22T11:33:00Z	4	2014	38	9
Pinkfoot	4345.846235956199	2014-09-22T16:05:00Z	18	2014	38	9
Pinkfoot	7052.599802236531	2014-09-22T16:25:00Z	48	2014	38	9
Pinkfoot	3357.462018701152	2014-09-22T16:50:00Z	175	2014	38	9
Pinkfoot	1808.632792973462	2014-09-22T17:30:00Z	1760	2014	38	9
Pinkfoot	1614.771192384775	2014-09-22T17:30:00Z	970	2014	38	9
Pinkfoot	939.0559068437328	2014-09-22T18:45:00Z	3570	2014	38	9
Pinkfoot	1086.5578923860921	2014-09-22T19:00:00Z	160	2014	38	9
Pinkfoot	1987.0625011818022	2014-09-23T07:15:00Z	1080	2014	38	9
Pinkfoot	2072.591130228426	2014-09-23T07:30:00Z	2250	2014	38	9
Pinkfoot	1384.891188096155	2014-09-23T08:00:00Z	1920	2014	38	9
Pinkfoot	1133.7829631980549	2014-09-23T08:00:00Z	580	2014	38	9
Pinkfoot	805.8729907226377	2014-09-23T08:30:00Z	830	2014	38	9
Pinkfoot	606.7760259639352	2014-09-23T08:30:00Z	1500	2014	38	9
Pinkfoot	4589.0314323127395	2014-09-23T09:30:00Z	595	2014	38	9
Pinkfoot	3079.525085445721	2014-09-23T10:05:00Z	420	2014	38	9
Pinkfoot	7901.532970764001	2014-09-23T10:50:00Z	99	2014	38	9
Pinkfoot	8398.51459484814	2014-09-23T11:10:00Z	1	2014	38	9
Pinkfoot	7558.003053569878	2014-09-23T14:10:00Z	59	2014	38	9
Pinkfoot	4806.434756014128	2014-09-23T14:40:00Z	260	2014	38	9
Pinkfoot	1975.9223013481724	2014-09-23T15:50:00Z	2	2014	38	9
Pinkfoot	1077.4317552883801	2014-09-23T16:00:00Z	260	2014	38	9
Pinkfoot	1080.6162221243562	2014-09-23T16:00:00Z	390	2014	38	9
Pinkfoot	900.4425315272114	2014-09-23T16:00:00Z	3930	2014	38	9
Pinkfoot	7637.9429187408105	2014-09-24T16:15:00Z	73	2014	39	9
Pinkfoot	8395.703020666298	2014-09-24T16:40:00Z	19	2014	39	9
Pinkfoot	7660.769278065358	2014-09-24T16:55:00Z	6	2014	39	9
Pinkfoot	5819.147318172391	2014-09-24T17:15:00Z	215	2014	39	9
Pinkfoot	1075.8211137394198	2014-09-24T17:40:00Z	1710	2014	39	9
Pinkfoot	4447.954023746633	2014-09-25T09:35:00Z	6	2014	39	9
Pinkfoot	8280.663152080215	2014-09-25T10:05:00Z	185	2014	39	9
Pinkfoot	10072.409646200169	2014-09-25T10:25:00Z	57	2014	39	9
Pinkfoot	8231.011985908553	2014-09-25T10:35:00Z	550	2014	39	9
Pinkfoot	8839.33867492318	2014-09-25T10:40:00Z	45	2014	39	9
Pinkfoot	9008.233992777195	2014-09-25T11:30:00Z	665	2014	39	9
Pinkfoot	8451.825746422912	2014-09-25T12:05:00Z	3520	2014	39	9
Pinkfoot	8504.794309112394	2014-09-25T14:35:00Z	675	2014	39	9
Pinkfoot	7678.762701350508	2014-09-25T15:20:00Z	105	2014	39	9
Pinkfoot	7652.07495655299	2014-09-25T15:35:00Z	76	2014	39	9
Pinkfoot	8394.81618650425	2014-09-25T15:40:00Z	3	2014	39	9
Pinkfoot	7656.759065118086	2014-09-26T14:45:00Z	231	2014	39	9
Pinkfoot	9284.509525360492	2014-09-26T15:10:00Z	125	2014	39	9
Pinkfoot	9347.598982763968	2014-09-26T15:25:00Z	5	2014	39	9
Pinkfoot	7737.084644857747	2014-09-26T15:00:00Z	370	2014	39	9
Pinkfoot	4983.2424661456635	2014-09-26T16:05:00Z	880	2014	39	9
Pinkfoot	2631.198142433544	2014-09-26T16:50:00Z	3	2014	39	9
Pinkfoot	9253.887845411453	2014-09-27T10:55:00Z	170	2014	39	9
Pinkfoot	5015.970089151252	2014-09-27T11:55:00Z	710	2014	39	9
Pinkfoot	5707.346291171818	2014-09-27T12:05:00Z	195	2014	39	9
Pinkfoot	8075.044117475118	2014-09-27T12:30:00Z	1930	2014	39	9
Pinkfoot	10157.374457048847	2014-09-27T13:15:00Z	2830	2014	39	9
Pinkfoot	8841.833784235816	2014-09-28T13:35:00Z	520	2014	39	9
Pinkfoot	7423.659735787812	2014-09-28T14:05:00Z	12	2014	39	9
Pinkfoot	4285.049328816866	2014-09-28T16:15:00Z	42	2014	39	9
Pinkfoot	1171.049068771512	2014-09-29T09:25:00Z	9550	2014	39	9
Pinkfoot	9686.409808583603	2014-09-29T11:50:00Z	24	2014	39	9
Pinkfoot	9720.692639197197	2014-09-29T11:50:00Z	910	2014	39	9
Pinkfoot	9361.294719631465	2014-09-29T12:05:00Z	1330	2014	39	9
Pinkfoot	8996.441283885026	2014-09-29T13:30:00Z	1430	2014	39	9
Pinkfoot	6422.650490362605	2014-09-30T14:15:00Z	8	2014	39	9
Pinkfoot	1766.5583320298235	2014-09-30T15:40:00Z	76	2014	39	9
Pinkfoot	1066.75181203447	2014-09-30T15:50:00Z	320	2014	39	9
Pinkfoot	4095.168311950495	2014-09-30T16:20:00Z	27	2014	39	9
Pinkfoot	6393.323663759722	2014-09-30T17:20:00Z	10	2014	39	9
Pinkfoot	8100.127633968138	2014-10-01T14:00:00Z	2830	2014	40	10
Pinkfoot	8056.656284644133	2014-10-01T14:00:00Z	260	2014	40	10
Pinkfoot	5665.236801781635	2014-10-01T14:40:00Z	2020	2014	40	10
Pinkfoot	5749.300050261813	2014-10-01T14:40:00Z	1560	2014	40	10
Pinkfoot	5589.364136250386	2014-09-30T15:00:00Z	3980	2014	39	9
Pinkfoot	7449.55908531967	2014-10-02T16:15:00Z	805	2014	40	10
Pinkfoot	7261.881577861185	2014-10-03T14:55:00Z	92	2014	40	10
Pinkfoot	872.7426706777734	2014-10-09T08:20:00Z	2440	2014	41	10
Pinkfoot	739.7875435121488	2014-10-09T08:40:00Z	120	2014	41	10
Pinkfoot	11776.882432943059	2014-10-09T09:10:00Z	840	2014	41	10
Pinkfoot	11777.602045773576	2014-10-09T09:25:00Z	2100	2014	41	10
Pinkfoot	1411.4681875792235	2014-10-11T08:20:00Z	310	2014	41	10
Pinkfoot	704.1047091367009	2014-10-11T08:40:00Z	1150	2014	41	10
Pinkfoot	1094.3202184091067	2014-10-11T08:50:00Z	700	2014	41	10
Pinkfoot	12507.785901822712	2014-10-11T15:50:00Z	31	2014	41	10
Pinkfoot	12371.417809678689	2014-10-11T15:50:00Z	180	2014	41	10
Pinkfoot	5514.09431858706	2014-10-11T16:35:00Z	1115	2014	41	10
Pinkfoot	8350.361956867095	2014-10-11T17:30:00Z	2	2014	41	10
Pinkfoot	3343.465358221186	2014-10-13T14:00:00Z	24	2014	41	10
Pinkfoot	8696.993679293804	2014-10-13T14:50:00Z	78	2014	41	10
Pinkfoot	7914.093624991729	2014-10-13T15:50:00Z	18	2014	41	10
Pinkfoot	11041.015861557953	2014-10-14T09:20:00Z	550	2014	41	10
Pinkfoot	13783.687826534335	2014-10-14T10:00:00Z	470	2014	41	10
Pinkfoot	8324.71996577111	2014-10-14T12:30:00Z	2	2014	41	10
Pinkfoot	6268.380708742069	2014-10-14T13:10:00Z	28	2014	41	10
Pinkfoot	8152.358177494135	2014-10-15T13:55:00Z	14	2014	42	10
Pinkfoot	8272.388120744605	2014-10-16T10:25:00Z	2	2014	42	10
Pinkfoot	1468.1652913015137	2014-10-16T17:15:00Z	360	2014	42	10
Pinkfoot	11435.215353294203	2014-10-18T14:20:00Z	330	2014	42	10
Pinkfoot	8324.633593326476	2014-10-18T15:30:00Z	6	2014	42	10
Pinkfoot	4903.124377965699	2014-10-20T12:05:00Z	43	2014	42	10
Pinkfoot	4989.568851041536	2014-10-21T10:30:00Z	44	2014	42	10
Pinkfoot	4842.426355858224	2014-10-21T10:45:00Z	3	2014	42	10
Pinkfoot	8005.606650180627	2014-10-22T10:25:00Z	740	2014	43	10
Pinkfoot	4916.075158874559	2014-10-22T11:05:00Z	225	2014	43	10
Pinkfoot	6884.88655437056	2014-10-23T15:05:00Z	610	2014	43	10
Pinkfoot	4777.984248683669	2014-10-24T15:35:00Z	810	2014	43	10
Pinkfoot	3091.907527682596	2014-10-25T15:25:00Z	20	2014	43	10
Pinkfoot	681.2189732878039	2014-10-26T07:15:00Z	2130	2014	43	10
Pinkfoot	12229.15913563056	2014-10-26T08:05:00Z	80	2014	43	10
Pinkfoot	12411.040725869221	2014-10-26T08:20:00Z	655	2014	43	10
Pinkfoot	12145.549595549777	2014-10-26T07:20:00Z	780	2014	43	10
Pinkfoot	11030.956552048072	2014-10-26T09:50:00Z	200	2014	43	10
Pinkfoot	4949.383440174638	2014-10-27T09:35:00Z	75	2014	43	10
Pinkfoot	9911.194186293405	2014-10-28T14:00:00Z	53	2014	43	10
Pinkfoot	814.351496160541	2014-10-29T07:25:00Z	830	2014	44	10
Pinkfoot	1114.0034765069192	2014-10-29T07:45:00Z	840	2014	44	10
Pinkfoot	897.1434858373215	2014-11-02T17:15:00Z	1815	2014	44	11
Pinkfoot	6502.288000834436	2014-11-03T02:10:00Z	6	2014	44	11
Pinkfoot	8034.577197055434	2014-11-04T13:45:00Z	4	2014	44	11
Pinkfoot	933.913858902275	2015-09-22T15:20:00Z	320	2015	38	9
Pinkfoot	8056.15688774318	2015-09-25T08:15:00Z	95	2015	39	9
Pinkfoot	8616.79944066537	2015-09-25T09:50:00Z	690	2015	39	9
Pinkfoot	1961.1237279797817	2015-09-25T11:05:00Z	28	2015	39	9
Pinkfoot	1214.4257050407452	2015-09-26T11:05:00Z	1230	2015	39	9
Pinkfoot	3590.520783963977	2015-09-27T09:00:00Z	345	2015	39	9
Pinkfoot	889.9730156995201	2015-09-27T09:35:00Z	185	2015	39	9
Pinkfoot	426.12846031920134	2015-09-27T09:50:00Z	710	2015	39	9
Pinkfoot	9780.548221781524	2015-09-27T10:05:00Z	5050	2015	39	9
Pinkfoot	1231.5331050320353	2015-09-28T08:00:00Z	2860	2015	39	9
Pinkfoot	10044.258071804603	2015-09-28T09:40:00Z	2020	2015	39	9
Pinkfoot	4145.738313512923	2015-09-28T16:50:00Z	1470	2015	39	9
Pinkfoot	3522.0495187578194	2015-09-29T08:00:00Z	500	2015	39	9
Pinkfoot	2623.607202913395	2015-09-29T08:30:00Z	80	2015	39	9
Pinkfoot	3428.646736853219	2015-09-29T08:40:00Z	12	2015	39	9
Pinkfoot	4297.923961771954	2015-09-29T08:50:00Z	135	2015	39	9
Pinkfoot	1049.8971268911394	2015-09-29T09:05:00Z	1510	2015	39	9
Pinkfoot	9867.746123397406	2015-09-30T14:20:00Z	1450	2015	39	9
Pinkfoot	8891.676247929665	2015-09-30T15:10:00Z	1620	2015	39	9
Pinkfoot	8347.32115268823	2015-09-30T16:00:00Z	2650	2015	39	9
Pinkfoot	1074.9263819207442	2015-09-30T16:35:00Z	380	2015	39	9
Pinkfoot	6714.387397302549	2015-10-02T14:05:00Z	26	2015	40	10
Pinkfoot	8841.284893075237	2015-10-02T14:25:00Z	1080	2015	40	10
Pinkfoot	8939.481964252986	2015-10-02T14:25:00Z	440	2015	40	10
Pinkfoot	9074.446992912433	2015-10-02T14:25:00Z	210	2015	40	10
Pinkfoot	4457.077542369438	2015-10-02T15:35:00Z	19	2015	40	10
Pinkfoot	4193.502703291869	2015-10-02T16:10:00Z	620	2015	40	10
Pinkfoot	8042.193036347772	2015-10-02T17:00:00Z	2200	2015	40	10
Pinkfoot	7208.588254674981	2015-10-03T08:35:00Z	1860	2015	40	10
Pinkfoot	8926.076873838017	2015-10-03T10:35:00Z	2450	2015	40	10
Pinkfoot	900.8724575541858	2015-10-03T13:30:00Z	570	2015	40	10
Pinkfoot	7774.763220121565	2015-10-05T14:10:00Z	5	2015	40	10
Pinkfoot	6825.764529543369	2015-10-05T13:00:00Z	10	2015	40	10
Pinkfoot	4848.805855072308	2015-10-05T14:45:00Z	145	2015	40	10
Pinkfoot	6753.681824094767	2015-10-05T15:10:00Z	480	2015	40	10
Pinkfoot	8174.5846052665565	2015-10-05T15:30:00Z	47	2015	40	10
Pinkfoot	4719.094387230162	2015-10-05T16:05:00Z	660	2015	40	10
Pinkfoot	834.5542608398856	2015-10-05T16:30:00Z	1070	2015	40	10
Pinkfoot	886.0536960074369	2015-10-05T17:15:00Z	280	2015	40	10
Pinkfoot	9995.769310012858	2015-10-06T15:20:00Z	90	2015	40	10
Pinkfoot	8308.21665926096	2015-10-06T15:40:00Z	1540	2015	40	10
Pinkfoot	4682.816872880822	2015-10-06T16:35:00Z	650	2015	40	10
Pinkfoot	5136.233219898407	2015-10-06T16:50:00Z	1280	2015	40	10
Pinkfoot	3047.4643140259755	2015-10-06T18:00:00Z	2800	2015	40	10
Pinkfoot	7949.899238423006	2015-10-07T12:05:00Z	9	2015	40	10
Pinkfoot	7781.974164562246	2015-10-07T12:10:00Z	16	2015	40	10
Pinkfoot	7687.639163937958	2015-10-08T12:35:00Z	92	2015	41	10
Pinkfoot	9298.231364667035	2015-10-08T12:50:00Z	12	2015	41	10
Pinkfoot	7779.259490913366	2015-10-08T13:50:00Z	430	2015	41	10
Pinkfoot	8003.933568283964	2015-10-08T13:50:00Z	980	2015	41	10
Pinkfoot	2471.3096495160185	2015-10-08T15:40:00Z	23	2015	41	10
Pinkfoot	4191.9029703031665	2015-10-08T16:00:00Z	140	2015	41	10
Pinkfoot	4625.661882079889	2015-10-08T16:40:00Z	4e3	2015	41	10
Pinkfoot	5716.4275197683555	2015-10-08T17:25:00Z	38	2015	41	10
Pinkfoot	5778.80656156591	2015-10-08T17:25:00Z	370	2015	41	10
Pinkfoot	7633.182880557311	2015-10-09T13:25:00Z	160	2015	41	10
Pinkfoot	9332.684924695852	2015-10-09T13:40:00Z	2	2015	41	10
Pinkfoot	5762.9563296935385	2015-10-09T14:15:00Z	70	2015	41	10
Pinkfoot	7231.614225365362	2015-10-09T14:50:00Z	280	2015	41	10
