Date	Sex	API	Weight
2013-03-04	M	1	2670.1
2013-03-12	M	2	2867.2
2010-04-12	M	4	3261.4
2010-03-25	M	3	3064.3
2010-04-15	M	3	3064.3
2013-03-15	M	2	2867.2
2013-03-04	M	2	2867.2
2013-04-15	M	2.5	2965.75
2010-03-30	M	2	2867.2
2010-03-30	M	2	2867.2
2015-02-10	M	1	2670.1
2010-04-10	M	3	3064.3
2010-04-03	M	2	2867.2
2012-10-02	M	3	3064.3
2014-04-04	M	2.5	2965.75
2012-04-11	M	3	3064.3
2012-04-01	M	3	3064.3
2013-05-05	M	4	3261.4
2013-05-01	M	4	3261.4
2013-03-09	M	3	3064.3
2015-03-09	M	2	2867.2
2015-02-27	M	1	2670.1
2015-02-11	M	2.5	2965.75
2014-03-21	M	2	2867.2
2014-04-04	M	2	2867.2
2014-03-23	M	2	2867.2
2015-01-30	M	1.5	2768.65
2013-04-18	M	3	3064.3
2013-10-14	M	2	2867.2
2013-03-05	M	2	2867.2
2013-03-20	M	1	2670.1
2013-04-10	M	2	2867.2
2015-03-16	M	2	2867.2
2013-03-15	M	2	2867.2
2013-04-04	M	3	3064.3
2012-09-24	M	2	2867.2
2015-01-30	M	1	2670.1
2013-11-14	M	3	3064.3
2015-03-27	M	2	2867.2
2014-03-17	M	3	3064.3
2010-03-26	M	3	3064.3
2013-04-15	M	2	2867.2
2011-11-06	M	1	2670.1
2012-04-04	M	3	3064.3
2015-03-27	M	2	2867.2
2010-03-26	M	1	2670.1
2012-03-22	M	3	3064.3
2011-11-08	M	1	2670.1
2011-11-08	M	1	2670.1
2014-04-02	M	2.5	2965.75
2014-03-26	M	2	2867.2
2013-03-13	M	1	2670.1
2012-03-29	M	3	3064.3
2013-03-19	M	3	3064.3
2010-04-13	M	3	3064.3
2010-04-09	M	2	2867.2
2010-04-07	M	4	3261.4
2010-03-26	M	2	2867.2
2010-04-13	M	2	2867.2
2010-04-01	M	2	2867.2
2010-03-31	M	2	2867.2
2010-03-26	M	2	2867.2
2013-03-15	M	1.5	2768.65
2012-04-16	M	2	2867.2
2014-04-14	M	3	3064.3
2012-04-10	M	1.5	2768.65
2013-03-18	M	1	2670.1
2013-04-29	M	3	3064.3
2013-04-04	M	1	2670.1
2010-04-09	M	3	3064.3
2014-03-10	M	2	2867.2
2014-04-02	M	2	2867.2
2014-04-01	M	2	2867.2
2013-04-05	M	2.5	2965.75
2012-04-12	M	3	3064.3
2013-03-22	M	1	2670.1
2012-04-09	M	2	2867.2
2014-03-29	M	2	2867.2
2014-04-04	M	3	3064.3
2010-03-27	M	2	2867.2
2010-04-06	M	3	3064.3
2010-03-28	M	3	3064.3
2012-03-27	M	2	2867.2
2013-03-05	M	1	2670.1
2014-01-12	M	1	2670.1
2011-10-20	M	3	3064.3
2014-04-04	M	1	2670.1
2014-04-07	M	3	3064.3
2014-03-26	M	2	2867.2
2012-03-27	M	3	3064.3
2014-03-27	M	2	2867.2
2010-03-27	M	3	3064.3
2010-04-03	M	3	3064.3
2010-04-01	M	2	2867.2
2010-03-31	M	3	3064.3
2011-11-06	M	1	2670.1
2010-04-15	M	3	3064.3
2014-03-29	M	2	2867.2
2012-03-26	M	2	2867.2
2013-03-21	M	1	2670.1
2013-03-15	M	2	2867.2
2012-03-22	M	2	2867.2
2013-04-18	M	2.5	2965.75
2010-04-03	M	3	3064.3
2012-03-22	M	2	2867.2
2010-04-04	M	3	3064.3
2010-04-02	M	3	3064.3
2010-04-03	M	3	3064.3
2013-10-13	M	1	2670.1
2013-03-18	M	2	2867.2
2014-03-03	M	1	2670.1
2012-03-20	M	1	2670.1
2012-04-17	M	3	3064.3
2012-04-14	M	3	3064.3
2012-04-08	M	3	3064.3
2010-04-11	M	4	3261.4
2010-04-09	M	4	3261.4
2010-04-05	M	3	3064.3
2010-03-25	M	1	2670.1
2010-04-15	M	2	2867.2
2015-01-31	M	2	2867.2
2013-04-03	M	2	2867.2
2010-04-13	M	4	3261.4
2015-03-17	M	2	2867.2
2011-01-27	M	1	2670.1
2010-04-15	M	3	3064.3
2010-03-25	M	1	2670.1
2012-03-29	M	2	2867.2
2010-04-09	M	5	3458.5
2010-04-11	M	4	3261.4
2010-04-07	M	4	3261.4
2012-04-03	M	3	3064.3
2012-04-01	M	3	3064.3
2015-02-03	M	1.5	2768.65
2015-01-30	M	1	2670.1
2010-04-14	M	3	3064.3
2012-10-02	M	1	2670.1
2013-09-27	M	2	2867.2
2015-03-11	M	1	2670.1
2010-04-06	M	2	2867.2
2013-10-02	M	1	2670.1
2013-03-22	M	2	2867.2
2013-03-25	M	2	2867.2
2015-03-12	M	2	2867.2
2014-04-02	M	1	2670.1
2012-03-30	M	2.5	2965.75
2015-03-29	M	2	2867.2
2012-04-11	M	3	3064.3
2012-04-10	M	4	3261.4
2013-03-05	M	1	2670.1
2013-03-19	M	2	2867.2
2011-11-08	M	1	2670.1
2015-03-16	M	3	3064.3
2012-04-13	M	3	3064.3
2014-04-04	M	2	2867.2
2013-03-13	M	2	2867.2
2013-03-04	M	1	2670.1
2011-11-08	M	1	2670.1
2010-03-25	M	1	2670.1
2010-04-15	M	3	3064.3
2010-04-13	M	3	3064.3
2010-04-11	M	3	3064.3
2010-04-09	M	3	3064.3
2010-04-07	M	3	3064.3
2010-04-13	M	4	3261.4
2010-04-10	M	3	3064.3
2010-04-05	M	5	3458.5
2010-04-02	M	3	3064.3
2012-03-29	M	4	3261.4
2010-03-25	M	2	2867.2
2010-04-13	M	3	3064.3
2010-04-09	M	3	3064.3
2010-04-08	M	3	3064.3
2010-04-02	M	2	2867.2
2010-04-01	M	2	2867.2
2010-04-08	M	4	3261.4
2010-04-06	M	3	3064.3
2013-03-22	M	1	2670.1
2012-04-11	M	2	2867.2
2013-03-19	M	1	2670.1
2011-11-06	M	1	2670.1
2013-03-25	M	2	2867.2
2012-04-02	M	3	3064.3
2013-03-20	M	3	3064.3
2013-03-05	M	1	2670.1
2012-09-24	M	1	2670.1
2013-10-23	M	2	2867.2
2012-04-06	M	2	2867.2
2010-04-13	M	4	3261.4
2010-04-09	M	3	3064.3
2010-04-08	M	4	3261.4
2010-04-03	M	3	3064.3
2013-04-18	M	2	2867.2
2012-04-10	M	3	3064.3
2012-03-22	M	2	2867.2
2011-10-17	M	2	2867.2
2013-10-18	M	3	3064.3
2013-01-04	M	2	2867.2
2013-03-04	M	1	2670.1
2013-04-03	M	2	2867.2
2013-04-04	M	2	2867.2
2015-02-23	M	1	2670.1
2013-03-24	M	3	3064.3
2014-03-06	M	1	2670.1
2015-01-05	M	1	2670.1
2015-03-27	M	2	2867.2
2015-01-22	M	1	2670.1
2013-03-19	M	1.5	2768.65
2011-10-16	M	2	2867.2
2015-03-04	M	1	2670.1
2014-02-24	M	2.5	2965.75
2010-04-11	M	4	3261.4
2010-04-07	M	3	3064.3
2010-04-15	M	4	3261.4
2010-04-13	M	4	3261.4
2010-04-11	M	3	3064.3
2010-04-09	M	3	3064.3
2013-04-12	M	2	2867.2
2012-04-16	M	3	3064.3
2012-04-11	M	2	2867.2
2012-04-06	M	2	2867.2
2013-03-13	M	1	2670.1
2015-01-29	M	2	2867.2
2015-02-05	M	2	2867.2
2010-04-01	M	1	2670.1
2010-04-02	M	2	2867.2
2010-03-30	M	2	2867.2
2010-03-30	M	2	2867.2
2010-04-13	M	3	3064.3
2013-03-25	M	1	2670.1
2013-03-05	M	1	2670.1
2010-03-27	M	1	2670.1
2013-02-10	M	1	2670.1
2012-04-02	M	2	2867.2
2013-03-08	M	1	2670.1
2013-03-07	M	1	2670.1
2010-04-06	M	2	2867.2
2010-04-04	M	1	2670.1
2010-03-27	M	2	2867.2
2010-03-25	M	2	2867.2
2010-04-05	M	3	3064.3
2010-04-15	M	3	3064.3
2010-04-10	M	2	2867.2
2010-04-07	M	2	2867.2
2010-03-30	M	2	2867.2
2012-10-24	M	2	2867.2
2011-10-20	M	2	2867.2
2012-10-18	M	2	2867.2
2015-01-20	M	2	2867.2
2015-03-16	M	2	2867.2
2012-11-01	M	3	3064.3
2015-02-25	M	1	2670.1
2014-09-24	M	1	2670.1
2014-03-12	M	2	2867.2
2011-01-27	M	1	2670.1
2013-03-22	M	2	2867.2
2010-04-08	M	3	3064.3
2010-04-15	M	4	3261.4
2010-04-13	M	4	3261.4
2013-03-07	M	1	2670.1
2010-04-12	M	6	3655.6
2013-04-04	M	3	3064.3
2010-03-29	M	2	2867.2
2010-04-04	M	2	2867.2
2010-04-03	M	2	2867.2
2010-04-01	M	2	2867.2
2014-10-17	M	1	2670.1
2010-04-11	M	4	3261.4
2010-04-07	M	3	3064.3
2013-10-30	M	2	2867.2
2014-10-15	M	1	2670.1
2013-03-15	M	2	2867.2
2014-03-24	M	2	2867.2
2012-09-24	M	1	2670.1
2015-03-05	M	1	2670.1
2010-03-25	M	1	2670.1
2013-03-22	M	1	2670.1
2012-03-29	M	2	2867.2
2014-04-04	M	3	3064.3
2010-03-31	M	2	2867.2
2010-04-14	M	5	3458.5
2010-04-12	M	4	3261.4
2010-04-12	M	4	3261.4
2010-04-10	M	5	3458.5
2012-04-05	M	3	3064.3
2013-03-13	M	1	2670.1
2010-04-06	M	3	3064.3
2010-03-30	M	2	2867.2
2010-03-30	M	2	2867.2
2013-03-13	M	2	2867.2
2012-04-03	M	3	3064.3
2012-04-05	M	3	3064.3
2012-03-20	M	3	3064.3
2013-03-05	M	2	2867.2
2015-01-22	M	1	2670.1
2010-03-25	M	3	3064.3
2013-03-25	M	2	2867.2
2012-09-28	M	3	3064.3
2014-04-06	M	3	3064.3
2010-04-11	M	4	3261.4
2010-04-06	M	4	3261.4
2012-09-28	M	3	3064.3
2012-09-28	M	3	3064.3
2012-10-24	M	2	2867.2
2012-04-19	M	2.5	2965.75
2012-04-06	M	3	3064.3
2013-03-07	M	1	2670.1
2013-04-04	M	2	2867.2
2010-04-14	M	3	3064.3
2010-04-12	M	3	3064.3
2010-04-10	M	3	3064.3
