season	day	species	foraging_time	foraging_time_se	flight_distance	flight_distance_se	daily_energy_budget	daily_energy_budget_se	daily_energy_balance	daily_energy_balance_se	day_length	foraging_time_sd	flight_distance_sd	daily_energy_budget_sd	daily_energy_balance_sd
1	577	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	959	-1	-1	-1	-1
1	577	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	959	-1	-1	-1	-1
1	577	greylag	0	0	0	0	1416	0	-1416	0	959	0	0	0	0
1	578	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	955	-1	-1	-1	-1
1	578	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	955	-1	-1	-1	-1
1	578	greylag	320.398	12.9727	9920.87	448.958	1415	0.0376622	-303.989	41.8871	955	344.693	11929.1	1.00071	1112.97
1	579	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	951	-1	-1	-1	-1
1	579	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	951	-1	-1	-1	-1
1	579	greylag	426.61	10.3863	13802	391.433	1413.33	0.0289855	58.814	32.1057	951	337.995	12738.1	0.943254	1044.79
1	580	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	947	-1	-1	-1	-1
1	580	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	947	-1	-1	-1	-1
1	580	greylag	470.745	8.39228	15580.8	338.898	1411.5	0.0230551	251.458	25.6312	947	315.353	12734.6	0.866332	963.134
1	581	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	943	-1	-1	-1	-1
1	581	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	943	-1	-1	-1	-1
1	581	greylag	491.154	7.02992	17021.3	295.505	1409.6	0.0190476	366.585	21.2102	943	295.34	12414.7	0.800227	891.079
1	582	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	939	-1	-1	-1	-1
1	582	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	939	-1	-1	-1	-1
1	582	greylag	505.121	6.12982	18361.1	276.858	1407.83	0.00809978	438.539	18.0401	939	282.105	12741.5	0.372766	830.238
1	583	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	935	-1	-1	-1	-1
1	583	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	935	-1	-1	-1	-1
1	583	greylag	520.938	5.45667	18224.7	248.006	1406.71	0.0140818	496.228	15.7083	935	271.246	12328.2	0.699996	780.844
1	584	pinkfoot	-1	-1	-1	-1	-1	-1	-1	-1	931	-1	-1	-1	-1
1	584	barnacle	-1	-1	-1	-1	-1	-1	-1	-1	931	-1	-1	-1	-1
