season	day	day_in_year	species	n_forage_locs	n_forage_locs_se	n	n_forage_locs_sd
1	577	212	pinkfoot	-1	-1	0	-1
1	577	212	barnacle	-1	-1	0	-1
1	577	212	greylag	0	0	417	0
1	578	213	pinkfoot	-1	-1	0	-1
1	578	213	barnacle	-1	-1	0	-1
1	578	213	greylag	0.501805	0.0173551	831	0.500298
1	579	214	pinkfoot	-1	-1	0	-1
1	579	214	barnacle	-1	-1	0	-1
1	579	214	greylag	0.662679	0.0133567	1254	0.472984
1	580	215	pinkfoot	-1	-1	0	-1
1	580	215	barnacle	-1	-1	0	-1
1	580	215	greylag	0.750898	0.0105865	1670	0.432622
1	581	216	pinkfoot	-1	-1	0	-1
1	581	216	barnacle	-1	-1	0	-1
1	581	216	greylag	0.799426	0.00876318	2089	0.400526
1	582	217	pinkfoot	-1	-1	0	-1
1	582	217	barnacle	-1	-1	0	-1
1	582	217	greylag	0.833599	0.00744136	2506	0.372514
1	583	218	pinkfoot	-1	-1	0	-1
1	583	218	barnacle	-1	-1	0	-1
1	583	218	greylag	0.859986	0.00642926	2914	0.347061
1	584	219	pinkfoot	-1	-1	0	-1
1	584	219	barnacle	-1	-1	0	-1
1	584	219	greylag	0.874025	0.0057476	3334	0.331871
1	585	220	pinkfoot	-1	-1	0	-1
1	585	220	barnacle	-1	-1	0	-1
1	585	220	greylag	0.887646	0.00515357	3756	0.315843
1	586	221	pinkfoot	-1	-1	0	-1
1	586	221	barnacle	-1	-1	0	-1
1	586	221	greylag	0.898995	0.00466249	4178	0.301372
1	587	222	pinkfoot	-1	-1	0	-1
1	587	222	barnacle	-1	-1	0	-1
1	587	222	greylag	0.908656	0.00424916	4598	0.288129
1	588	223	pinkfoot	-1	-1	0	-1
1	588	223	barnacle	-1	-1	0	-1
1	588	223	greylag	0.917215	0.00389229	5013	0.275584
1	589	224	pinkfoot	-1	-1	0	-1
1	589	224	barnacle	-1	-1	0	-1
1	589	224	greylag	0.922525	0.00362702	5434	0.267368
1	590	225	pinkfoot	-1	-1	0	-1
1	590	225	barnacle	-1	-1	0	-1
1	590	225	greylag	0.928571	0.00336689	5852	0.257561
1	591	226	pinkfoot	-1	-1	0	-1
1	591	226	barnacle	-1	-1	0	-1
1	591	226	greylag	0.933333	0.00315046	6270	0.249464
1	592	227	pinkfoot	-1	-1	0	-1
1	592	227	barnacle	-1	-1	0	-1
1	592	227	greylag	0.938061	0.00294857	6684	0.241063
1	593	228	pinkfoot	-1	-1	0	-1
1	593	228	barnacle	-1	-1	0	-1
1	593	228	greylag	0.940746	0.0028012	7105	0.236116
1	594	229	pinkfoot	-1	-1	0	-1
1	594	229	barnacle	-1	-1	0	-1
1	594	229	greylag	0.944814	0.00263335	7520	0.228358
1	595	230	pinkfoot	-1	-1	0	-1
1	595	230	barnacle	-1	-1	0	-1
1	595	230	greylag	0.947581	0.00250196	7936	0.222885
1	596	231	pinkfoot	-1	-1	0	-1
1	596	231	barnacle	-1	-1	0	-1
1	596	231	greylag	0.949964	0.00238547	8354	0.218032
1	597	232	pinkfoot	-1	-1	0	-1
1	597	232	barnacle	-1	-1	0	-1
1	597	232	greylag	1	0	8354	0
1	598	233	pinkfoot	-1	-1	0	-1
1	598	233	barnacle	-1	-1	0	-1
1	598	233	greylag	1	0	8300	0
1	599	234	pinkfoot	-1	-1	0	-1
1	599	234	barnacle	-1	-1	0	-1
1	599	234	greylag	1	0	8235	0
1	600	235	pinkfoot	-1	-1	0	-1
1	600	235	barnacle	-1	-1	0	-1
1	600	235	greylag	1	0	8173	0
1	601	236	pinkfoot	-1	-1	0	-1
1	601	236	barnacle	-1	-1	0	-1
1	601	236	greylag	1	0	8099	0
1	602	237	pinkfoot	-1	-1	0	-1
1	602	237	barnacle	-1	-1	0	-1
1	602	237	greylag	1.00012	0.000124564	8028	0.0111608
1	603	238	pinkfoot	-1	-1	0	-1
1	603	238	barnacle	-1	-1	0	-1
1	603	238	greylag	1	0	7959	0
1	604	239	pinkfoot	-1	-1	0	-1
1	604	239	barnacle	-1	-1	0	-1
1	604	239	greylag	1	0	7903	0
1	605	240	pinkfoot	-1	-1	0	-1
1	605	240	barnacle	-1	-1	0	-1
1	605	240	greylag	1.00051	0.000255314	7832	0.0225949
1	606	241	pinkfoot	-1	-1	0	-1
1	606	241	barnacle	-1	-1	0	-1
1	606	241	greylag	1	0	7765	0
1	607	242	pinkfoot	-1	-1	0	-1
1	607	242	barnacle	-1	-1	0	-1
1	607	242	greylag	1.00013	0.00013009	7687	0.0114057
1	608	243	pinkfoot	-1	-1	0	-1
1	608	243	barnacle	-1	-1	0	-1
1	608	243	greylag	1	0	7629	0
1	609	244	pinkfoot	-1	-1	0	-1
1	609	244	barnacle	-1	-1	0	-1
1	609	244	greylag	1	0	7563	0
1	610	245	pinkfoot	-1	-1	0	-1
1	610	245	barnacle	-1	-1	0	-1
1	610	245	greylag	1.0004	0.000231248	7489	0.020012
1	611	246	pinkfoot	-1	-1	0	-1
1	611	246	barnacle	-1	-1	0	-1
1	611	246	greylag	1	0	7422	0
1	612	247	pinkfoot	-1	-1	0	-1
1	612	247	barnacle	-1	-1	0	-1
1	612	247	greylag	1.00027	0.000192292	7354	0.0164901
1	613	248	pinkfoot	-1	-1	0	-1
1	613	248	barnacle	-1	-1	0	-1
1	613	248	greylag	1.00041	0.0002373	7298	0.0202721
1	614	249	pinkfoot	-1	-1	0	-1
1	614	249	barnacle	-1	-1	0	-1
1	614	249	greylag	1.00069	0.000309191	7230	0.0262903
1	615	250	pinkfoot	-1	-1	0	-1
1	615	250	barnacle	-1	-1	0	-1
1	615	250	greylag	1.0007	0.000311473	7177	0.0263871
1	616	251	pinkfoot	-1	-1	0	-1
1	616	251	barnacle	-1	-1	0	-1
1	616	251	greylag	1.00014	0.000140449	7120	0.0118511
1	617	252	pinkfoot	-1	-1	0	-1
1	617	252	barnacle	-1	-1	0	-1
1	617	252	greylag	1	0	7080	0
1	618	253	pinkfoot	-1	-1	0	-1
1	618	253	barnacle	-1	-1	0	-1
1	618	253	greylag	1.00456	0.000804153	7019	0.0673715
1	619	254	pinkfoot	-1	-1	0	-1
1	619	254	barnacle	-1	-1	0	-1
1	619	254	greylag	1.00072	0.000321413	6955	0.0268047
1	620	255	pinkfoot	-1	-1	0	-1
1	620	255	barnacle	-1	-1	0	-1
1	620	255	greylag	1.00029	0.000204855	6903	0.0170202
1	621	256	pinkfoot	-1	-1	0	-1
1	621	256	barnacle	-1	-1	0	-1
1	621	256	greylag	1.00029	0.000206681	6842	0.0170959
1	622	257	pinkfoot	-1	-1	0	-1
1	622	257	barnacle	-1	-1	0	-1
1	622	257	greylag	1.00191	0.000530227	6794	0.0437044
1	623	258	pinkfoot	0	0	783	0
1	623	258	barnacle	-1	-1	0	-1
1	623	258	greylag	1.00089	0.000363453	6737	0.0298319
1	624	259	pinkfoot	0.496193	0.0125985	1576	0.500144
1	624	259	barnacle	-1	-1	0	-1
1	624	259	greylag	1.00015	0.000150173	6659	0.0122545
1	625	260	pinkfoot	0.663278	0.00972809	2361	0.472689
1	625	260	barnacle	-1	-1	0	-1
1	625	260	greylag	1	0	6603	0
1	626	261	pinkfoot	0.744627	0.00776655	3164	0.436864
1	626	261	barnacle	-1	-1	0	-1
1	626	261	greylag	1	0	6556	0
1	627	262	pinkfoot	0.797724	0.00639822	3955	0.402376
1	627	262	barnacle	-1	-1	0	-1
1	627	262	greylag	1	0	6503	0
1	628	263	pinkfoot	0.833087	0.00542564	4739	0.373503
1	628	263	barnacle	-1	-1	0	-1
1	628	263	greylag	1	0	6461	0
1	629	264	pinkfoot	0.856833	0.00471241	5525	0.350275
1	629	264	barnacle	-1	-1	0	-1
1	629	264	greylag	1	0	6390	0
1	630	265	pinkfoot	0.871131	0.00422278	6332	0.336023
1	630	265	barnacle	-1	-1	0	-1
1	630	265	greylag	1	0	6322	0
1	631	266	pinkfoot	0.887419	0.00374986	7106	0.316102
1	631	266	barnacle	-1	-1	0	-1
1	631	266	greylag	1	0	6282	0
1	632	267	pinkfoot	0.900025	0.00339795	7882	0.301672
1	632	267	barnacle	-1	-1	0	-1
1	632	267	greylag	1	0	6236	0
1	633	268	pinkfoot	0.913755	0.0032766	8673	0.305147
1	633	268	barnacle	-1	-1	0	-1
1	633	268	greylag	1	0	6184	0
1	634	269	pinkfoot	0.914101	0.00288223	9453	0.280229
1	634	269	barnacle	-1	-1	0	-1
1	634	269	greylag	1	0	6123	0
1	635	270	pinkfoot	0.920457	0.00268751	10246	0.272037
1	635	270	barnacle	-1	-1	0	-1
1	635	270	greylag	1	0	6081	0
1	636	271	pinkfoot	0.927255	0.00247519	11011	0.25973
1	636	271	barnacle	-1	-1	0	-1
1	636	271	greylag	1	0	6023	0
1	637	272	pinkfoot	0.931125	0.00233098	11804	0.253252
1	637	272	barnacle	-1	-1	0	-1
1	637	272	greylag	1	0	5960	0
1	638	273	pinkfoot	0.934175	0.00220976	12594	0.247986
1	638	273	barnacle	-1	-1	0	-1
1	638	273	greylag	1	0	5920	0
1	639	274	pinkfoot	0.997773	0.000420377	12574	0.0471385
1	639	274	barnacle	-1	-1	0	-1
1	639	274	greylag	1	0	5876	0
1	640	275	pinkfoot	0.996727	0.000516689	12221	0.0571192
1	640	275	barnacle	-1	-1	0	-1
1	640	275	greylag	1	0	5832	0
1	641	276	pinkfoot	0.996971	0.000504136	11884	0.0549578
1	641	276	barnacle	-1	-1	0	-1
1	641	276	greylag	1	0	5775	0
1	642	277	pinkfoot	0.995409	0.000629218	11544	0.0676051
1	642	277	barnacle	0	0	238	0
1	642	277	greylag	1	0	5718	0
1	643	278	pinkfoot	0.997239	0.000495175	11229	0.0524722
1	643	278	barnacle	0.549266	0.0270466	477	0.590706
1	643	278	greylag	1	0	5661	0
1	644	279	pinkfoot	0.997251	0.000501186	10914	0.0523589
1	644	279	barnacle	0.682073	0.0185317	714	0.495181
1	644	279	greylag	1	0	5612	0
1	645	280	pinkfoot	0.998391	0.000389928	10566	0.0400811
1	645	280	barnacle	0.756356	0.0139793	944	0.429508
1	645	280	greylag	1	0	5556	0
1	646	281	pinkfoot	0.997077	0.000532828	10265	0.0539842
1	646	281	barnacle	0.807823	0.0118662	1176	0.406927
1	646	281	greylag	1	0	5530	0
1	647	282	pinkfoot	0.997391	0.000530392	9965	0.0529463
1	647	282	barnacle	0.848227	0.0105595	1410	0.396508
1	647	282	greylag	1	0	5477	0
1	648	283	pinkfoot	0.997106	0.000619489	9675	0.0609339
1	648	283	barnacle	0.85723	0.00866822	1646	0.351678
1	648	283	greylag	1	0	5430	0
1	649	284	pinkfoot	0.997765	0.000681119	9396	0.0660229
1	649	284	barnacle	0.876064	0.00763872	1880	0.331207
1	649	284	greylag	1	0	5383	0
1	650	285	pinkfoot	0.997908	0.000592445	9084	0.0564659
1	650	285	barnacle	0.889939	0.00693362	2117	0.319022
1	650	285	greylag	1	0	5333	0
1	651	286	pinkfoot	0.995704	0.000695478	8845	0.0654082
1	651	286	barnacle	0.910828	0.00667868	2355	0.324105
