season	day	day_in_year	species_type	leave_reason	n
1	577	212	pinkfoot_family	migration	0
1	577	212	pinkfoot_family	body_condition	0
1	577	212	pinkfoot_family	lean_weight	0
1	577	212	pinkfoot_nonbreeder	migration	0
1	577	212	pinkfoot_nonbreeder	body_condition	0
1	577	212	pinkfoot_nonbreeder	lean_weight	0
1	577	212	barnacle_family	migration	0
1	577	212	barnacle_family	body_condition	0
1	577	212	barnacle_family	lean_weight	0
1	577	212	barnacle_nonbreeder	migration	0
1	577	212	barnacle_nonbreeder	body_condition	0
1	577	212	barnacle_nonbreeder	lean_weight	0
1	577	212	greylag_family	migration	0
1	577	212	greylag_family	body_condition	0
1	577	212	greylag_family	lean_weight	0
1	577	212	greylag_nonbreeder	migration	0
1	577	212	greylag_nonbreeder	body_condition	0
1	577	212	greylag_nonbreeder	lean_weight	0
1	578	213	pinkfoot_family	migration	0
1	578	213	pinkfoot_family	body_condition	0
1	578	213	pinkfoot_family	lean_weight	0
1	578	213	pinkfoot_nonbreeder	migration	0
1	578	213	pinkfoot_nonbreeder	body_condition	0
1	578	213	pinkfoot_nonbreeder	lean_weight	0
1	578	213	barnacle_family	migration	0
1	578	213	barnacle_family	body_condition	0
1	578	213	barnacle_family	lean_weight	0
1	578	213	barnacle_nonbreeder	migration	0
1	578	213	barnacle_nonbreeder	body_condition	0
1	578	213	barnacle_nonbreeder	lean_weight	0
1	578	213	greylag_family	migration	0
1	578	213	greylag_family	body_condition	0
1	578	213	greylag_family	lean_weight	0
1	578	213	greylag_nonbreeder	migration	0
1	578	213	greylag_nonbreeder	body_condition	0
1	578	213	greylag_nonbreeder	lean_weight	0
1	579	214	pinkfoot_family	migration	0
1	579	214	pinkfoot_family	body_condition	0
1	579	214	pinkfoot_family	lean_weight	0
1	579	214	pinkfoot_nonbreeder	migration	0
1	579	214	pinkfoot_nonbreeder	body_condition	0
1	579	214	pinkfoot_nonbreeder	lean_weight	0
1	579	214	barnacle_family	migration	0
1	579	214	barnacle_family	body_condition	0
1	579	214	barnacle_family	lean_weight	0
1	579	214	barnacle_nonbreeder	migration	0
1	579	214	barnacle_nonbreeder	body_condition	0
1	579	214	barnacle_nonbreeder	lean_weight	0
1	579	214	greylag_family	migration	0
1	579	214	greylag_family	body_condition	0
1	579	214	greylag_family	lean_weight	0
1	579	214	greylag_nonbreeder	migration	0
1	579	214	greylag_nonbreeder	body_condition	0
1	579	214	greylag_nonbreeder	lean_weight	0
1	580	215	pinkfoot_family	migration	0
1	580	215	pinkfoot_family	body_condition	0
1	580	215	pinkfoot_family	lean_weight	0
1	580	215	pinkfoot_nonbreeder	migration	0
1	580	215	pinkfoot_nonbreeder	body_condition	0
1	580	215	pinkfoot_nonbreeder	lean_weight	0
1	580	215	barnacle_family	migration	0
1	580	215	barnacle_family	body_condition	0
1	580	215	barnacle_family	lean_weight	0
1	580	215	barnacle_nonbreeder	migration	0
1	580	215	barnacle_nonbreeder	body_condition	0
1	580	215	barnacle_nonbreeder	lean_weight	0
1	580	215	greylag_family	migration	0
1	580	215	greylag_family	body_condition	0
1	580	215	greylag_family	lean_weight	0
1	580	215	greylag_nonbreeder	migration	0
1	580	215	greylag_nonbreeder	body_condition	0
1	580	215	greylag_nonbreeder	lean_weight	0
1	581	216	pinkfoot_family	migration	0
1	581	216	pinkfoot_family	body_condition	0
1	581	216	pinkfoot_family	lean_weight	0
1	581	216	pinkfoot_nonbreeder	migration	0
1	581	216	pinkfoot_nonbreeder	body_condition	0
1	581	216	pinkfoot_nonbreeder	lean_weight	0
1	581	216	barnacle_family	migration	0
1	581	216	barnacle_family	body_condition	0
1	581	216	barnacle_family	lean_weight	0
1	581	216	barnacle_nonbreeder	migration	0
1	581	216	barnacle_nonbreeder	body_condition	0
1	581	216	barnacle_nonbreeder	lean_weight	0
