season	day	pf_families	pf_non_breeders	bn_families	bn_non_breeders	gl_families	gl_non_breeders	snow_depth
1	577	0	0	0	0	87	330	0
1	578	0	0	0	0	171	660	0
1	579	0	0	0	0	264	990	0
1	580	0	0	0	0	350	1320	0
1	581	0	0	0	0	439	1650	0
1	582	0	0	0	0	526	1980	0
1	583	0	0	0	0	604	2310	0
1	584	0	0	0	0	694	2640	0
1	585	0	0	0	0	786	2970	0
1	586	0	0	0	0	878	3300	0
1	587	0	0	0	0	968	3630	0
1	588	0	0	0	0	1053	3960	0
1	589	0	0	0	0	1144	4290	0
1	590	0	0	0	0	1232	4620	0
1	591	0	0	0	0	1320	4950	0
1	592	0	0	0	0	1404	5280	0
1	593	0	0	0	0	1495	5610	0
1	594	0	0	0	0	1580	5940	0
1	595	0	0	0	0	1666	6270	0
1	596	0	0	0	0	1754	6600	0
1	597	0	0	0	0	1747	6553	0
1	598	0	0	0	0	1729	6506	0
1	599	0	0	0	0	1718	6455	0
1	600	0	0	0	0	1697	6402	0
1	601	0	0	0	0	1686	6342	0
1	602	0	0	0	0	1680	6279	0
1	603	0	0	0	0	1667	6236	0
1	604	0	0	0	0	1655	6177	0
1	605	0	0	0	0	1633	6132	0
1	606	0	0	0	0	1611	6076	0
1	607	0	0	0	0	1600	6029	0
1	608	0	0	0	0	1589	5974	0
1	609	0	0	0	0	1571	5918	0
1	610	0	0	0	0	1552	5870	0
1	611	0	0	0	0	1528	5826	0
1	612	0	0	0	0	1519	5779	0
1	613	0	0	0	0	1508	5722	0
1	614	0	0	0	0	1498	5679	0
1	615	0	0	0	0	1488	5632	0
1	616	0	0	0	0	1488	5592	0
1	617	0	0	0	0	1479	5540	0
1	618	0	0	0	0	1467	5488	0
1	619	0	0	0	0	1454	5449	0
1	620	0	0	0	0	1443	5399	0
1	621	0	0	0	0	1440	5354	0
1	622	0	0	0	0	1433	5304	0
1	623	163	619	0	0	1404	5255	0
1	624	328	1238	0	0	1393	5210	0
1	625	498	1857	0	0	1387	5169	0
1	626	678	2476	0	0	1372	5131	0
1	627	852	3095	0	0	1365	5096	0
1	628	1020	3714	0	0	1350	5040	0
1	629	1181	4333	0	0	1336	4986	0
1	630	1354	4952	0	0	1328	4954	0
1	631	1519	5571	0	0	1322	4914	0
1	632	1673	6190	0	0	1319	4865	0
1	633	1832	6809	0	0	1303	4820	0
1	634	1999	7428	0	0	1296	4785	0
1	635	2163	8047	0	0	1279	4744	0
1	636	2325	8666	0	0	1266	4694	0
1	637	2480	9285	0	0	1257	4663	0
1	638	2642	9904	0	0	1252	4624	0
1	639	2581	9600	0	0	1249	4583	0
1	640	2509	9339	0	0	1229	4546	0
1	641	2427	9064	0	0	1215	4503	0
1	642	2377	8821	51	187	1200	4461	0
1	643	2312	8572	103	374	1194	4418	0
1	644	2228	8321	153	561	1179	4377	0
1	645	2181	8054	196	748	1179	4351	0
1	646	2112	7826	241	935	1169	4308	0
1	647	2056	7587	288	1122	1164	4266	0
1	648	2002	7363	337	1309	1157	4226	0
1	649	1924	7136	384	1496	1147	4186	0
1	650	1866	6941	434	1683	1140	4145	0
1	651	1846	6730	485	1870	1126	4115	0
1	652	1763	6546	534	2057	1121	4072	0
1	653	1694	6362	578	2244	1117	4042	0
1	654	1642	6170	630	2431	1114	4018	0
1	655	1590	5981	679	2618	1114	3985	0
1	656	1550	5795	729	2805	1100	3957	0
1	657	1527	5638	776	2992	1095	3923	0
1	658	1488	5476	829	3179	1092	3895	0
1	659	1441	5309	875	3366	1079	3861	0
1	660	1406	5142	921	3553	1062	3827	0
1	661	1360	4980	975	3740	1058	3795	0
1	662	1318	4839	1022	3927	1048	3767	0
1	663	1296	4684	1070	4114	1040	3743	0
1	664	1259	4563	1070	4114	1030	3722	0
1	665	1213	4418	1070	4114	1021	3688	0
1	666	1183	4283	1070	4114	1013	3660	0
1	667	1155	4154	1070	4114	1003	3630	0
1	668	1117	4030	1070	4114	1003	3586	0
1	669	1068	3895	1070	4114	988	3564	0
1	670	1068	3895	1070	4114	985	3538	0
1	671	1068	3895	1070	4114	978	3500	0
1	672	1068	3895	1070	4114	965	3472	0
1	673	1066	3895	1070	4114	960	3440	0
1	674	1066	3895	1070	4114	957	3412	0
1	675	1065	3895	1070	4114	957	3381	0
1	676	1065	3895	1070	4114	950	3362	0
1	677	1065	3895	1070	4114	939	3333	0
1	678	1065	3895	1070	4114	936	3310	0
1	679	1065	3895	1070	4114	936	3285	0
1	680	1067	3895	1070	4114	930	3251	0
1	681	1067	3895	1070	4114	925	3226	0
1	682	1067	3895	1070	4114	925	3207	0
1	683	1068	3895	1066	4086	925	3182	0
1	684	1068	3895	1056	4058	914	3164	0
1	685	1064	3895	1056	4028	908	3143	0
