season	day	day_in_year	species	mean_weight	mean_weight_se	n	mean_weight_sd
1	581	216	pinkfoot	-1	-1	0	-1
1	581	216	barnacle	-1	-1	0	-1
1	581	216	greylag	3330.97	0.479755	1765	20.1554
1	588	223	pinkfoot	-1	-1	0	-1
1	588	223	barnacle	-1	-1	0	-1
1	588	223	greylag	3344.68	0.260096	4236	16.9283
1	595	230	pinkfoot	-1	-1	0	-1
1	595	230	barnacle	-1	-1	0	-1
1	595	230	greylag	3348.55	0.167597	6707	13.7256
1	602	237	pinkfoot	-1	-1	0	-1
1	602	237	barnacle	-1	-1	0	-1
1	602	237	greylag	3353.99	0.0027679	6757	0.227524
1	609	244	pinkfoot	-1	-1	0	-1
1	609	244	barnacle	-1	-1	0	-1
1	609	244	greylag	3353.99	0.00180029	6347	0.143425
1	616	251	pinkfoot	-1	-1	0	-1
1	616	251	barnacle	-1	-1	0	-1
1	616	251	greylag	3353.99	0.00184704	5982	0.142857
1	623	258	pinkfoot	2725.55	0	667	0
1	623	258	barnacle	-1	-1	0	-1
1	623	258	greylag	3353.99	0.00263325	5634	0.197652
1	630	265	pinkfoot	2758.13	0.213126	5323	15.5495
1	630	265	barnacle	-1	-1	0	-1
1	630	265	greylag	3354	0.000994369	5314	0.0724867
1	637	272	pinkfoot	2762.86	0.123904	9975	12.3749
1	637	272	barnacle	-1	-1	0	-1
1	637	272	greylag	3353.99	0.00239013	5010	0.169177
1	644	279	pinkfoot	2768.09	0.0337611	9146	3.22874
1	644	279	barnacle	2024.13	0.396595	600	9.71456
1	644	279	greylag	3353.91	0.011626	4740	0.800422
1	651	286	pinkfoot	2768.11	0.0367214	7289	3.13511
1	651	286	barnacle	2039.02	0.331154	2000	14.8097
1	651	286	greylag	3353.55	0.0385665	4486	2.58309
1	658	293	pinkfoot	2768.09	0.0361576	5847	2.76481
1	658	293	barnacle	2043.68	0.201252	3400	11.7349
1	658	293	greylag	3352.95	0.0873638	4240	5.68872
1	665	300	pinkfoot	2767.88	0.0586777	4722	4.03214
1	665	300	barnacle	2043.64	0.23547	4400	15.6193
1	665	300	greylag	3349.96	0.236451	3991	14.9376
1	672	307	pinkfoot	2768.05	0.0503951	4038	3.20237
1	672	307	barnacle	2043.58	0.309857	4400	20.5536
1	672	307	greylag	3345.87	0.452246	3761	27.7349
1	679	314	pinkfoot	2768.05	0.0509579	4036	3.23733
1	679	314	barnacle	2039.5	0.485007	4400	32.1717
1	679	314	greylag	3338.23	0.798321	3548	47.552
1	686	321	pinkfoot	2765.38	0.133344	4033	8.46813
1	686	321	barnacle	2032.97	0.740593	4273	48.4112
1	686	321	greylag	3325.77	1.30324	3338	75.2952
1	693	328	pinkfoot	2763.97	0.241981	4042	15.3843
