343																		
HunterID	HunterType	HuntingDays	WeekdayHunterChance	GooseLookChance	Efficiency	HomeX	HomeY	NoFarmrefs	FarmRef1	FarmRef2	FarmRef3	FarmRef4	FarmRef5	FarmRef6	FarmRef7	FarmRef8	FarmRef9	FarmRef10
0	0	15	1	1	1	6078	9732	2	152	124	NA	NA	NA	NA	NA	NA	NA	NA
1	0	15	1	1	1	23182	17417	3	321	90	556	NA	NA	NA	NA	NA	NA	NA
2	0	15	1	1	1	14823	16289	2	174	510	NA	NA	NA	NA	NA	NA	NA	NA
3	0	15	1	1	1	30047	12318	2	143	93	NA	NA	NA	NA	NA	NA	NA	NA
4	0	15	1	1	1	23944	21009	1	297	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	0	15	1	1	1	31128	12384	5	86	340	281	305	52	NA	NA	NA	NA	NA
6	0	15	1	1	1	29932	9373	1	520	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	0	15	1	1	1	26834	12983	3	275	321	152	NA	NA	NA	NA	NA	NA	NA
8	0	15	1	1	1	3693	11039	2	450	98	NA	NA	NA	NA	NA	NA	NA	NA
9	0	15	1	1	1	2777	2157	1	424	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	0	15	1	1	1	32703	16761	1	359	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	0	15	1	1	1	16868	18260	2	254	243	NA	NA	NA	NA	NA	NA	NA	NA
12	0	15	1	1	1	25864	16679	5	422	209	59	252	338	NA	NA	NA	NA	NA
13	0	15	1	1	1	16995	13743	1	388	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	0	15	1	1	1	5981	9328	2	206	420	NA	NA	NA	NA	NA	NA	NA	NA
15	0	15	1	1	1	5413	5622	2	119	404	NA	NA	NA	NA	NA	NA	NA	NA
16	0	15	1	1	1	33582	9663	3	367	158	189	NA	NA	NA	NA	NA	NA	NA
17	0	15	1	1	1	32365	16775	1	131	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	0	15	1	1	1	16893	12828	2	511	276	NA	NA	NA	NA	NA	NA	NA	NA
19	0	15	1	1	1	1094	1163	5	432	24	377	324	199	NA	NA	NA	NA	NA
20	0	15	1	1	1	28027	21093	2	234	470	NA	NA	NA	NA	NA	NA	NA	NA
21	0	15	1	1	1	4238	8829	2	356	524	NA	NA	NA	NA	NA	NA	NA	NA
22	0	15	1	1	1	16640	12252	1	327	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	0	15	1	1	1	1100	11392	1	37	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	0	15	1	1	1	5589	6052	2	106	461	NA	NA	NA	NA	NA	NA	NA	NA
25	0	15	1	1	1	30012	1227	2	75	54	NA	NA	NA	NA	NA	NA	NA	NA
26	0	15	1	1	1	21440	14278	2	136	266	NA	NA	NA	NA	NA	NA	NA	NA
27	0	15	1	1	1	23154	18184	1	546	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	0	15	1	1	1	34142	9993	3	149	169	197	NA	NA	NA	NA	NA	NA	NA
29	0	15	1	1	1	25899	17971	5	481	37	319	295	401	NA	NA	NA	NA	NA
30	0	15	1	1	1	6263	9715	2	91	498	NA	NA	NA	NA	NA	NA	NA	NA
31	0	15	1	1	1	11835	7126	2	450	99	NA	NA	NA	NA	NA	NA	NA	NA
32	0	15	1	1	1	5063	10134	2	224	117	NA	NA	NA	NA	NA	NA	NA	NA
33	0	15	1	1	1	32628	16099	3	390	126	248	NA	NA	NA	NA	NA	NA	NA
34	0	15	1	1	1	19437	19005	5	393	357	411	51	80	NA	NA	NA	NA	NA
35	0	15	1	1	1	12128	7720	2	94	321	NA	NA	NA	NA	NA	NA	NA	NA
36	0	15	1	1	1	20819	18993	1	454	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	0	15	1	1	1	15554	13634	2	423	408	NA	NA	NA	NA	NA	NA	NA	NA
38	0	15	1	1	1	9613	4489	1	413	NA	NA	NA	NA	NA	NA	NA	NA	NA
39	0	15	1	1	1	32271	16674	3	5	320	218	NA	NA	NA	NA	NA	NA	NA
40	0	15	1	1	1	15381	8885	2	499	205	NA	NA	NA	NA	NA	NA	NA	NA
41	0	15	1	1	1	13279	14276	5	281	385	425	414	39	NA	NA	NA	NA	NA
42	0	15	1	1	1	33854	9482	5	404	352	494	305	504	NA	NA	NA	NA	NA
43	0	15	1	1	1	16162	9422	1	470	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	0	15	1	1	1	11858	14235	1	54	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	0	15	1	1	1	34928	9435	1	305	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	0	15	1	1	1	15251	9269	2	301	30	NA	NA	NA	NA	NA	NA	NA	NA
47	0	15	1	1	1	32774	16431	3	67	338	465	NA	NA	NA	NA	NA	NA	NA
48	0	15	1	1	1	33599	12608	3	512	247	108	NA	NA	NA	NA	NA	NA	NA
49	0	15	1	1	1	15775	12857	2	352	530	NA	NA	NA	NA	NA	NA	NA	NA
50	0	15	1	1	1	34271	11218	2	47	35	NA	NA	NA	NA	NA	NA	NA	NA
51	0	15	1	1	1	25523	16857	2	484	474	NA	NA	NA	NA	NA	NA	NA	NA
52	0	15	1	1	1	10052	10242	1	236	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	0	15	1	1	1	25252	14923	2	319	127	NA	NA	NA	NA	NA	NA	NA	NA
54	0	15	1	1	1	33549	17177	1	52	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	0	15	1	1	1	20089	17145	1	69	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	0	15	1	1	1	6420	9788	2	164	132	NA	NA	NA	NA	NA	NA	NA	NA
57	0	15	1	1	1	6392	8181	1	154	NA	NA	NA	NA	NA	NA	NA	NA	NA
