FarmRef	FarmCentroidX	FarmCentroidY	FarmType	FarmSize	FarmArableSize	NoFields	NoOpenFields	AreaOpenFields	NoHunters
0	12846	10207	33	420338	95739	44	33	345043	0
1	28406	9697	33	34080	34080	12	2	26640	0
2	15177	7066	33	485608	19350	70	32	466348	0
3	15420	13655	33	750670	348535	73	50	664335	1
4	12938	12240	33	262284	37868	34	17	213501	4
5	25952	10076	33	800107	134218	89	50	681008	1
6	30376	13517	33	1287688	37129	82	65	1281078	1
7	28390	6079	33	820572	87187	124	100	761571	1
8	25469	11701	33	387835	121391	92	32	337048	2
9	18106	10120	33	463541	62461	77	31	360539	1
10	29135	9030	33	1438137	1370511	49	37	1409336	3
11	33124	9741	34	549767	545049	22	20	534638	0
12	25098	5577	33	1469630	1205321	68	40	1300215	0
13	34734	13301	32	444624	444624	28	11	439329	0
14	6929	14161	35	118211	69566	11	6	93019	1
15	35697	13308	33	111673	110698	12	10	107513	0
16	18569	6057	41	1714429	1542127	66	44	1709828	1
17	10110	6827	33	202273	174062	16	13	202238	1
18	13796	6811	41	371305	291411	46	33	345166	2
19	29672	14482	41	2974070	2916788	212	156	2973633	1
20	11896	15932	33	198247	112451	53	15	180793	0
21	9387	18899	36	343871	258825	19	17	343561	1
22	4682	16577	33	190013	180714	9	6	184329	0
23	7221	10394	33	574917	0	39	39	574917	0
24	10265	19329	35	43576	0	5	5	43576	3
25	11231	17252	32	1123398	903956	97	86	1114712	1
26	26	11186	35	2105	0	1	0	0	1
27	10573	17044	33	1923722	1627067	95	84	1890614	0
28	9449	14473	35	33881	0	5	4	33874	0
29	1856	14900	34	89476	89476	10	10	89476	2
30	3090	14934	32	288414	288414	8	4	176125	1
31	1991	19292	35	49749	49749	12	11	49741	2
32	2288	20764	35	78677	55280	7	5	78673	4
33	1180	20789	35	48705	48705	2	2	48705	0
34	11544	16840	33	398436	267784	19	17	386750	1
35	13519	14151	35	72290	61686	5	2	72280	2
36	15350	6463	33	474927	456004	16	13	462749	1
37	536	15370	33	45895	45895	1	1	45895	2
38	83	16623	35	36153	36153	1	1	36153	1
39	6232	13689	35	44179	0	15	1	15694	2
40	20275	6989	33	335814	335814	8	8	335814	2
41	16285	13044	34	476143	456649	46	30	451990	1
42	4928	20356	35	37274	37274	6	3	35066	1
43	4275	20730	35	44387	44387	3	2	44375	1
44	4267	20354	35	146283	146283	12	8	124183	1
45	1737	15126	34	529162	529162	18	15	528800	3
46	998	15803	33	476131	381126	22	20	475285	0
47	849	8156	33	54493	44095	3	3	54493	2
48	27683	12287	36	642609	628187	51	37	638039	0
49	7304	23768	41	493873	14861	17	15	491037	0
50	19451	4676	33	244205	217346	26	17	217699	1
51	2109	22334	32	1221742	1221742	23	17	1196262	1
52	21425	6970	33	145130	85414	12	7	123750	3
53	29939	6583	33	210470	0	33	30	201472	1
54	34375	14837	35	42203	23572	6	2	25587	3
55	18238	13274	35	166895	150698	15	13	162396	0
56	29538	23859	34	33217	33217	1	1	33217	1
57	30763	17565	33	866710	695272	62	60	860424	2
58	29966	23558	33	180390	160207	10	3	151805	1
59	35778	20772	41	29903	29903	1	1	29903	2
60	31451	22744	33	117460	74651	5	4	103438	1
61	29550	16842	32	423839	406813	24	17	408075	2
62	12984	15755	35	45085	0	3	3	45085	1
63	4584	17203	33	317309	299696	12	10	307783	3
64	16940	14388	35	53615	0	4	4	53615	2
65	1560	19565	32	726814	726814	21	12	691948	3
66	2366	19602	36	380726	288825	21	19	371419	2
67	2147	17392	32	199210	199210	19	6	198850	2
68	4709	20346	41	1921926	1691029	81	71	1906299	1
69	4843	14439	32	2655034	2626692	100	64	2574905	2
70	7460	14732	35	84463	64782	9	6	65039	0
71	32530	20969	33	73871	0	11	8	59569	2
72	25202	14278	33	783115	0	196	179	781295	1
73	27323	7057	34	657545	657545	35	32	657522	2
74	17433	13657	33	1985027	1896518	108	72	1914183	4
75	39	9635	33	10636	10636	1	1	10636	2
76	33868	4474	34	397981	382909	18	8	336173	2
77	9376	6435	34	34354	30308	10	8	34350	0
78	13539	9125	41	654467	353688	44	31	605272	0
79	15407	8987	35	245297	179797	12	5	159346	0
80	16198	5967	36	275417	201688	22	13	206864	1
81	179	13021	34	87321	87321	3	3	87321	0
82	32922	13844	34	947126	942915	13	12	944074	1
83	27125	5731	33	745681	391026	35	34	736660	2
84	11934	15797	35	38101	0	8	8	38101	3
85	27401	6274	33	1389374	1275403	97	69	1357934	2
86	25108	9802	34	815167	815167	43	26	797838	1
87	1068	20753	32	1126169	1105799	32	29	1125073	3
88	25696	11637	33	2366020	2361460	328	262	2349316	2
89	7292	13699	33	1614326	1583199	57	42	1568624	3
90	10898	6994	35	61186	61186	216	5	3935	2
91	27670	10079	34	616069	616069	50	15	615971	1
92	2962	14758	33	229794	207930	10	6	154659	1
93	28905	9313	34	334606	334606	6	6	334606	1
94	34481	13872	34	1970266	1959515	48	34	1920519	3
95	1130	20053	36	37992	37992	1	1	37992	1
96	24244	2702	35	69363	46207	11	8	55472	1
97	16982	12327	33	580369	176385	52	39	561128	0
98	23504	6229	33	231272	23396	11	11	231272	3
99	35701	4670	33	201274	201274	7	3	169170	2
100	509	15425	32	431172	431172	9	8	426911	2
101	32535	23158	32	1705681	1670505	57	34	1549858	1
102	17110	6194	35	78160	64738	15	8	55400	0
103	544	12007	33	145266	145266	6	6	145266	1
104	11431	16834	35	92316	44737	7	6	88956	2
105	33663	6927	34	2839514	2839514	142	64	2672518	0
106	19169	4743	35	81856	73089	5	5	81856	1
107	35858	13066	33	108679	86394	6	6	108679	1
108	35009	5747	48	60327	0	6	2	23047	3
109	14435	13613	33	189614	183278	8	7	165514	0
110	27651	6318	33	1129839	950482	59	46	1116057	3
111	16188	7983	35	126208	125706	22	17	126132	1
112	2153	19816	34	507817	507817	9	9	507817	0
113	24941	12539	35	89490	89490	7	7	89490	1
114	15645	8351	36	351473	240249	20	17	333237	0
115	15076	5775	33	599302	492617	53	49	576244	1
116	33611	23659	48	33539	0	3	0	0	2
117	17366	15319	33	498251	48733	21	19	481151	2
118	35942	14225	35	10692	10692	1	0	0	1
119	555	10859	32	300321	294752	14	14	300321	1
120	16939	6178	35	97876	97822	11	10	93748	0
121	13141	10167	33	169896	139846	12	10	169891	1
122	7438	9828	35	155042	128961	37	7	145832	1
123	15911	7847	34	698239	663089	21	21	698239	2
124	16256	9116	35	107874	107874	5	5	107874	2
125	9299	20083	35	134993	0	27	25	134946	1
126	34616	23050	41	389980	389980	14	10	350053	2
127	7884	10020	33	286689	286689	14	8	278785	3
128	32806	23889	33	33040	33040	2	1	23394	0
129	22793	11952	33	224664	0	3	3	224664	0
130	34499	12255	35	61880	61880	9	5	38567	0
131	15024	5953	35	75017	66762	7	6	68322	2
132	26948	6351	34	1623650	1623650	47	41	1593352	2
133	27572	7124	35	106010	106010	5	4	101793	1
134	7587	15483	35	55755	0	12	10	42949	1
135	766	13376	34	240639	240639	5	5	240639	2
136	12988	16475	35	95486	95486	6	6	95486	6
137	25404	4881	33	664997	581297	25	21	628344	0
138	27551	12621	35	21629	21629	2	1	8879	2
139	12061	16086	34	205188	193747	12	10	174796	2
140	33978	22710	35	162741	162741	6	4	121557	2
141	14806	9109	33	26755	6598	4	2	23544	1
142	15895	11280	35	74874	69878	16	7	65221	0
143	35486	6413	33	725866	704309	26	17	645979	2
144	26073	7699	35	91165	89272	9	5	79246	1
145	17934	16619	35	28334	0	3	3	28334	3
146	5971	17619	34	298547	298547	8	8	298547	2
147	34773	6571	35	236093	27905	14	3	68902	2
148	826	16746	32	511699	511699	10	5	465751	0
149	35878	18708	35	17381	0	1	1	17381	1
150	33010	14438	35	72409	0	5	3	57108	0
151	33923	10946	35	100009	100009	2	2	100009	1
152	26656	6774	33	634265	618625	40	26	570886	6
