Polyref	CX	CY	Type	Area	Country Designation
0	70	0	16	7348	3
1	131	38	30	244	-1
2	550	37	16	5730	3
3	529	51	21	1360	-1
4	511	70	11	12754	-1
5	630	63	16	4852	3
6	813	3	32	57	-1
7	841	9	6	566	-1
8	864	0	57	1	-1
9	862	4	32	19	-1
10	834	19	11	2513	-1
11	934	14	32	80	-1
12	938	9	12	37	-1
13	942	2	27	6	-1
14	945	23	0	201	-1
15	954	51	4	4700	-1
16	1183	0	52	1	-1
17	1182	2	0	49	-1
18	1215	83	10	33951	-1
19	1317	20	57	885	-1
20	1340	20	17	611	3
21	1352	9	17	30	3
22	1354	8	40	49	-1
23	1356	3	57	13	-1
24	1357	6	17	22	3
25	1359	10	0	79	-1
26	1408	7	24	537	1
27	1382	51	20	6031	-1
28	1473	25	0	162	-1
29	1440	48	57	4790	-1
30	1362	223	4	117322	-1
31	1749	59	50	955	-1
32	1791	8	4	297	-1
33	1823	16	4	869	-1
34	1643	147	10	10782	-1
35	1898	2	57	20	-1
36	1904	0	1	3	-1
37	1529	279	21	8095	-1
38	1915	1	1	5	-1
39	1934	2	6	160	-1
40	1931	38	6	6154	-1
41	1456	736	4	497973	-1
42	2322	0	57	1	-1
43	2340	11	4	598	-1
44	2363	54	32	5617	-1
45	2298	153	21	2216	-1
46	2555	11	57	219	-1
47	2555	45	0	348	-1
48	2938	369	21	9034	-1
49	2570	4	11	94	-1
50	2578	9	0	82	-1
51	2579	2	32	10	-1
52	2607	12	9	832	-1
53	2631	5	44	162	-1
54	2645	5	9	159	-1
55	2694	25	32	4517	-1
56	2743	9	32	13	-1
57	2791	45	10	8800	-1
58	2972	17	32	1549	-1
59	3019	5	44	162	-1
60	3027	22	4	2289	-1
61	3096	49	32	7592	-1
62	3167	36	11	504	-1
63	3214	46	16	7053	3
64	3928	75	16	21018	3
65	3926	0	20	2	-1
66	3929	1	1	10	-1
67	4010	28	22	1076	-1
68	3945	0	1	2	-1
69	3972	5	20	251	-1
70	3986	8	21	87	-1
71	4029	12	24	215	1
72	4076	23	20	3296	-1
73	4043	17	0	138	-1
74	4100	33	0	334	-1
75	4091	0	57	1	-1
76	4116	7	6	370	-1
77	4152	1	1	2	-1
78	5422	3096	23	237683	-1
79	4298	41	57	13908	-1
80	4443	1	0	18	-1
81	4428	6	32	358	-1
82	4729	2	16	42	3
83	4734	5	21	129	-1
84	4837	145	16	32033	3
85	4800	7	24	184	1
86	4809	4	21	61	-1
87	4816	16	20	606	-1
88	4824	0	40	3	-1
89	4946	129	57	45904	-1
90	5029	109	52	334	-1
91	5028	111	12	884	-1
92	5013	26	12	106	-1
93	5015	26	52	81	-1
94	5043	78	12	312	-1
95	5114	106	6	26035	-1
96	5173	113	12	857	-1
97	5171	105	52	322	-1
98	5219	96	6	22537	-1
99	5189	137	12	968	-1
100	5253	0	52	1	-1
101	5288	72	0	623	-1
102	5343	67	6	15358	-1
103	5415	25	57	653	-1
104	5471	23	6	5950	-1
105	5638	11	0	114	-1
106	5741	35	6	8333	-1
107	6011	51	52	254	-1
108	6012	50	12	670	-1
109	5942	7	0	53	-1
110	5947	1	57	4	-1
111	6241	2	24	30	1
112	6139	38	6	18785	-1
113	6260	19	57	270	-1
114	6284	0	57	24	-1
115	6301	2	57	19	-1
116	6373	14	21	821	-1
117	6336	2	6	81	-1
118	6346	3	57	19	-1
119	6349	3	0	23	-1
120	6353	3	57	23	-1
121	6371	7	6	385	-1
122	6389	4	57	27	-1
123	6392	8	0	52	-1
124	6413	10	18	739	2
125	6434	11	22	57	-1
126	6436	11	1	32	-1
127	6445	23	1	102	-1
128	6445	7	0	89	-1
129	6454	11	20	297	-1
130	6462	9	10	382	-1
131	6472	48	20	1423	-1
132	6930	294	12	1334	-1
133	6940	286	27	4749	-1
134	7170	57	12	1478	-1
135	7205	41	6	13419	-1
136	7286	72	57	559	-1
137	7334	99	0	2171	-1
138	7316	92	57	333	-1
139	7384	52	57	168	-1
140	7386	50	0	303	-1
141	7389	50	57	192	-1
142	7386	101	6	26947	-1
143	7483	24	57	49	-1
144	7484	9	40	36	-1
145	7520	2	24	52	1
146	7523	25	20	2530	-1
147	7550	2	24	127	1
148	7562	102	21	948	-1
149	7573	21	20	570	-1
150	7621	11	12	42	-1
151	7580	44	50	1254	-1
152	7628	3	57	6	-1
153	7616	83	6	10434	-1
154	7664	86	57	153	-1
155	7665	94	0	704	-1
156	7768	70	6	22132	-1
157	7870	1	57	3	-1
158	7872	18	52	46	-1
159	7871	16	12	180	-1
160	7919	29	6	3567	-1
161	7951	6	0	39	-1
162	7953	24	57	256	-1
163	7962	22	6	563	-1
164	7978	21	57	449	-1
165	8007	28	20	1695	-1
166	8039	13	0	81	-1
167	8041	12	32	48	-1
168	8036	29	1	134	-1
169	8071	10	6	921	-1
170	8090	12	1	175	-1
171	6825	3589	22	153047	-1
172	7969	56	1	671	-1
173	8138	3	57	25	-1
174	8137	74	6	25196	-1
